,precision,recall,f1-score,support
0,0.0,0.0,0.0,101.0
1,0.9998623424945994,1.0,0.9999311665095764,733604.0
accuracy,0.9998623424945994,0.9998623424945994,0.9998623424945994,0.9998623424945994
macro avg,0.4999311712472997,0.5,0.4999655832547882,733705.0
weighted avg,0.9997247039387875,0.9998623424945994,0.9997935184796224,733705.0
