,precision,recall,f1-score,support
0,0.9649122807017544,0.5445544554455446,0.6962025316455697,101.0
1,0.9999372996314309,0.9999972737335129,0.9999672857832193,733604.0
accuracy,0.9999345786112948,0.9999345786112948,0.9999345786112948,0.9999345786112948
macro avg,0.9824247901665926,0.7722758645895287,0.8480849087143945,733705.0
weighted avg,0.9999324781746984,0.9999345786112948,0.9999254702849362,733705.0
