,precision,recall,f1-score,support
0,0.9911402373853856,0.9928576459815454,0.9919981983630439,212955.0
1,0.6305562302647559,0.5786892554614356,0.6035104033476694,4486.0
accuracy,0.9843129860513886,0.9843129860513886,0.9843129860513886,0.9843129860513886
macro avg,0.8108482338250708,0.7857734507214904,0.7977543008553567,217441.0
weighted avg,0.9837010706415646,0.9843129860513886,0.9839833518141459,217441.0
