,precision,recall,f1-score,support
0,0.9215686274509803,0.9306930693069307,0.9261083743842364,101.0
1,0.9999904580542882,0.9999890949340516,0.9999897764937054,733604.0
accuracy,0.9999795558160296,0.9999795558160296,0.9999795558160296,0.9999795558160296
macro avg,0.9607795427526342,0.9653410821204912,0.9630490754389709,733705.0
weighted avg,0.9999796627007184,0.9999795558160296,0.9999796061641953,733705.0
