Metric,UNSW-NB15,BoT-IoT
Accuracy,0.9843129860513886,0.9998623424945994
F1 Score,0.6035104033476694,0.9999311665095764
Precision,0.6305562302647559,0.9998623424945994
Recall,0.5786892554614356,1.0
ROC-AUC,0.9563453393171536,0.8620099745183161
MCC,0.5960945308619136,0.0
